name,latitude,longitude,country
Trilith,58.4167,15.6167,Sweden
Topicshots,16.4625,-15.70083,Senegal
Linktype,-32.94424,-62.23028,Argentina
Feedfire,15.8793,120.8983,Philippines
Devcast,43.38278,42.91833,Russia
Voonder,27.55708,116.03011,China
Youfeed,32.06308,121.54158,China
Jabbersphere,28.46975,115.72189,China
Cogilith,6.4455,100.2002,Malaysia
Browsedrive,-18.71056,-40.40056,Brazil
Kayveo,49.72162,17.52013,Czech Republic
Quimba,59.2251,9.5597,Norway
Omba,33.62,113.345,China
Realbuzz,45.52914,14.69838,Slovenia
Bubbletube,22.3756,57.52334,Oman
Camido,4.57728,13.68459,Cameroon
Buzzbean,23.99417,112.87917,China
Skipfire,-9.4495,120.0481,Indonesia
Twitterwire,4.79027,-73.66011,Colombia
Cogibox,40.0018,-75.1179,United States
Feedbug,-26.47306,-49.00278,Brazil
Zoonoodle,31.62015,120.29206,China
Yambee,48.48522,31.53906,Ukraine
Chatterbridge,-6.5983,106.4782,Indonesia
Geba,35.83333,139.58333,Japan
Rooxo,-20.87306,-48.29694,Brazil
Ailane,43.51484,39.86825,Russia
Bluezoom,-6.70687,111.23989,Indonesia
Vinder,44.98901,38.94324,Russia
Zooveo,15.50189,101.68982,Thailand
Aimbu,37.90801,113.15044,China
Avamba,52.47138,20.72923,Poland
Avaveo,-28.76659,28.24936,Lesotho
Fivechat,33.33951,106.08188,China
Divavu,48.9735,2.2873,France
Mudo,48.9092,2.1375,France
Dynabox,-10.91667,-76.03333,Peru
Realpoint,37.0318,-76.3199,United States
Kare,5.94837,121.2883,Philippines
Yakidoo,45.0159,-93.4719,United States
Meeveo,8.15889,125.2825,Philippines
Fatz,13.74222,-87.71028,Honduras
Jabbertype,53.21682,-114.98544,Canada
Yozio,55.66853,39.87488,Russia
Abata,34.52384,99.96804,China
Katz,56.30512,54.09362,Russia
Oyoloo,-1.36501,-79.90494,Ecuador
Twinder,50.78597,18.0011,Poland
Edgeclub,35.70694,117.92639,China
Kwilith,32.68333,35.8,Jordan
Tagchat,-20.28389,-50.24639,Brazil
Skivee,44.77694,41.17222,Russia
Quaxo,49.04893,16.31169,Czech Republic
Oozz,40.83947,45.47033,Armenia
Skinder,40.66667,68.53333,Kazakhstan
Kazio,40.43944,113.15361,China
Linkbridge,24.83441,111.25802,China
Eamia,49.98473,21.94528,Poland
Jetpulse,58.06028,27.06944,Estonia
Eimbee,-7.1108,113.5265,Indonesia
Oloo,15.0646,120.7198,Philippines
Zoombeat,48.9243,2.2128,France
Skyba,-33.04417,-61.16806,Argentina
Buzzster,7.75849,-76.65254,Colombia
Thoughtstorm,51.0016,21.71474,Poland
Rooxo,-8.226,111.565,Indonesia
Flipstorm,59.3326,18.0649,Sweden
Divape,-39.00158,174.23836,New Zealand
Livepath,45.14667,20.48619,Serbia
Roodel,-7.7015,108.496,Indonesia
Tanoodle,-8.2983,114.2275,Indonesia
Fiveclub,-29.17443,-56.64326,Argentina
Yakidoo,7.44778,125.80778,Philippines
Riffwire,49.4829,19.13801,Poland
Babbleblab,-31.65292,-64.42826,Argentina
Eayo,27.20969,116.13118,China
Minyx,62.91713,34.45689,Russia
Zoomzone,22.15777,105.59559,Vietnam
Skyvu,46.53333,76.2,Kazakhstan
Chatterbridge,5.93168,-73.61506,Colombia
Kwilith,-20.03528,-44.14472,Brazil
Brightbean,20.095,-104.204,Mexico
InnoZ,40.56496,45.2367,Armenia
Topicware,37.03999,66.78891,Afghanistan
Cogibox,61.2277,14.0393,Sweden
Thoughtstorm,48.44694,31.07611,Ukraine
Livetube,37.45646,126.70515,South Korea
Meevee,45.5,125.13333,China
Eare,55.84376,48.51784,Russia
Yata,58.7058,15.7674,Sweden
Tagtune,-8.0649,111.9694,Indonesia
Youfeed,-8.2301,116.425,Indonesia
Youopia,10.6633,122.3228,Philippines
Kwilith,31.03361,112.20472,China
Skipstorm,7.90844,9.61688,Nigeria
Twitterlist,55.5562,98.6644,Russia
Dynabox,51.00123,23.3226,Poland
Gabspot,40.8167,-8.5583,Portugal
Livefish,9.86667,6.71667,Nigeria
Kimia,-0.30889,32.225,Uganda
